
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.5)

2024-06-05T17:22:55.596Z  INFO 1 --- [           main] cws.k8s.scheduler.Main                   : Starting Main v1.2-SNAPSHOT using Java 17-ea with PID 1 (/app/cws-k8s-scheduler.jar started by root in /app)
2024-06-05T17:22:55.599Z  INFO 1 --- [           main] cws.k8s.scheduler.Main                   : No active profile set, falling back to 1 default profile: "default"
2024-06-05T17:22:57.172Z  INFO 1 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2024-06-05T17:22:57.186Z  INFO 1 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-06-05T17:22:57.187Z  INFO 1 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-06-05T17:22:57.303Z  INFO 1 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-06-05T17:22:57.304Z  INFO 1 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1629 ms
2024-06-05T17:22:57.668Z  INFO 1 --- [           main] cws.k8s.scheduler.Main                   : 


================================================================================================
=                                                                                              =
=  Common Workflow Scheduler for Kubernetes 1.2-SNAPSHOT (21/05/24-11:49:03)                   =
=                                                                                              =
=  If you use the Common Workflow Scheduler for research purposes, please cite the following:  =
=  Lehmann Fabian, Jonathan Bader, Friedrich Tschirpke, Lauritz Thamsen, and Ulf Leser.        =
=  "How Workflow Engines Should Talk to Resource Managers: A Proposal for a Common Workflow    =
=  Scheduling Interface." In 2023 IEEE/ACM 23rd International Symposium on Cluster, Cloud and  =
=  Internet Computing (CCGrid). Bangalore, India, 2023.                                        =
=                                                                                              =
================================================================================================


2024-06-05T17:22:58.819Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-master-c20 has RAM: 269785337856 and CPU: 32
2024-06-05T17:22:58.821Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-master-c21 has RAM: 269785411584 and CPU: 32
2024-06-05T17:22:58.821Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-master-c22 has RAM: 269785415680 and CPU: 32
2024-06-05T17:22:58.821Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c23 has RAM: 269785333760 and CPU: 32
2024-06-05T17:22:58.821Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c24 has RAM: 97986633728 and CPU: 32
2024-06-05T17:22:58.821Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c25 has RAM: 97986650112 and CPU: 32
2024-06-05T17:22:58.821Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c26 has RAM: 269785337856 and CPU: 32
2024-06-05T17:22:58.821Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c27 has RAM: 97986740224 and CPU: 32
2024-06-05T17:22:58.822Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c28 has RAM: 97986646016 and CPU: 32
2024-06-05T17:22:58.822Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c29 has RAM: 269785346048 and CPU: 32
2024-06-05T17:22:58.822Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c30 has RAM: 134594699264 and CPU: 32
2024-06-05T17:22:58.822Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c31 has RAM: 134594682880 and CPU: 32
2024-06-05T17:22:58.822Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c32 has RAM: 134594686976 and CPU: 32
2024-06-05T17:22:58.822Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c33 has RAM: 134594600960 and CPU: 32
2024-06-05T17:22:58.822Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c34 has RAM: 97981902848 and CPU: 32
2024-06-05T17:22:58.822Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c35 has RAM: 97981894656 and CPU: 32
2024-06-05T17:22:58.823Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c36 has RAM: 269780586496 and CPU: 32
2024-06-05T17:22:58.823Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c37 has RAM: 269780557824 and CPU: 32
2024-06-05T17:22:58.823Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c38 has RAM: 269780574208 and CPU: 32
2024-06-05T17:22:58.823Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c39 has RAM: 269780594688 and CPU: 32
2024-06-05T17:22:58.823Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c40 has RAM: 269780561920 and CPU: 32
2024-06-05T17:22:58.823Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c41 has RAM: 97981886464 and CPU: 32
2024-06-05T17:22:58.823Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c42 has RAM: 97981902848 and CPU: 32
2024-06-05T17:22:58.823Z  INFO 1 --- [           main] cws.k8s.scheduler.model.NodeWithAlloc    : Node hu-worker-c43 has RAM: 269780578304 and CPU: 32
2024-06-05T17:22:59.263Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-master-c20 was added
2024-06-05T17:22:59.268Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-master-c21 was added
2024-06-05T17:22:59.271Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-master-c22 was added
2024-06-05T17:22:59.274Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c23 was added
2024-06-05T17:22:59.277Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c24 was added
2024-06-05T17:22:59.280Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c25 was added
2024-06-05T17:22:59.282Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c26 was added
2024-06-05T17:22:59.285Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c27 was added
2024-06-05T17:22:59.288Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c28 was added
2024-06-05T17:22:59.290Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c29 was added
2024-06-05T17:22:59.293Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c30 was added
2024-06-05T17:22:59.295Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c31 was added
2024-06-05T17:22:59.297Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c32 was added
2024-06-05T17:22:59.300Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c33 was added
2024-06-05T17:22:59.302Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c34 was added
2024-06-05T17:22:59.305Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c35 was added
2024-06-05T17:22:59.308Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c36 was added
2024-06-05T17:22:59.310Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c37 was added
2024-06-05T17:22:59.312Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c38 was added
2024-06-05T17:22:59.314Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c39 was added
2024-06-05T17:22:59.316Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c40 was added
2024-06-05T17:22:59.318Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c41 was added
2024-06-05T17:22:59.320Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c42 was added
2024-06-05T17:22:59.322Z  INFO 1 --- [pool-2-thread-1] c.k8s.scheduler.client.KubernetesClient  : New Node hu-worker-c43 was added
2024-06-05T17:22:59.556Z  INFO 1 --- [pool-2-thread-1] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod airflow-pgbouncer-5d9f84b6c-jt87g to node hu-master-c20 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.562Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod airflow-postgres-postgresql-0 to node hu-master-c20 with Requirements{cpu=2, ram=2.00 GB}
2024-06-05T17:22:59.564Z  INFO 1 --- [pool-2-thread-1] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod airflow-scheduler-78fb664656-qhpsw to node hu-master-c21 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.565Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod airflow-statsd-6bd4bdff54-jm457 to node hu-master-c20 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.566Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod airflow-triggerer-54dd6d6f5d-c788g to node hu-master-c21 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.573Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod airflow-webserver-565cf5b686-275v8 to node hu-master-c21 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.575Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod airflow-webserver-565cf5b686-jn9vl to node hu-master-c20 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.579Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod airflow-webserver-565cf5b686-lqvxr to node hu-master-c20 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.581Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod filebeat-filebeat-bff4db87b-b4zt9 to node hu-master-c22 with Requirements{cpu=0.100, ram=100.00 MB}
2024-06-05T17:22:59.583Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod filebeat-filebeat-bff4db87b-jfvxj to node hu-master-c21 with Requirements{cpu=0.100, ram=100.00 MB}
2024-06-05T17:22:59.586Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod filebeat-filebeat-bff4db87b-wsvch to node hu-master-c20 with Requirements{cpu=0.100, ram=100.00 MB}
2024-06-05T17:22:59.588Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod nfspod to node hu-worker-c26 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.592Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod kraken-pod to node hu-worker-c33 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.613Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod es-kb-elasticsearch-master-0 to node hu-master-c21 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.615Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod es-kb-elasticsearch-master-1 to node hu-master-c21 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.619Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod es-kb-elasticsearch-master-2 to node hu-master-c20 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.622Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod es-kb-kibana-8c78f665f-m7jx4 to node hu-master-c20 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.624Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod nextflow-entrypoint to node hu-worker-c26 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.625Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod rangeland to node hu-worker-c39 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.627Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod nextflow to node hu-worker-c41 with Requirements{cpu=0, ram=2.79 GB}
2024-06-05T17:22:59.635Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod workflow-prepare-8d4nc to node hu-worker-c28 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.640Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod workflow-prepare-9pk4m to node hu-worker-c35 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.644Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod workflow-prepare-bvktf to node hu-worker-c34 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.649Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod workflow-prepare-r46zq to node hu-worker-c42 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.652Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod workflow-prepare-stwfj to node hu-worker-c27 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.655Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod workflow-prepare-v72d2 to node hu-worker-c24 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.659Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod workflow-prepare-zhfnx to node hu-worker-c41 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.662Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod workflow-prepare-zr44b to node hu-worker-c25 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.663Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod workflow-scheduler to node hu-worker-c41 with Requirements{cpu=1, ram=1.95 GB}
2024-06-05T17:22:59.664Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-feature-discovery-5jdfs to node hu-worker-c30 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.665Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-feature-discovery-5rxw5 to node hu-worker-c38 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.667Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-feature-discovery-cn2ws to node hu-worker-c35 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.668Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-feature-discovery-cx2ct to node hu-worker-c31 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.669Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-feature-discovery-dkxjs to node hu-worker-c34 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.671Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-feature-discovery-f28wq to node hu-worker-c37 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.672Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-feature-discovery-hl5wh to node hu-worker-c32 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.673Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-feature-discovery-m59sf to node hu-worker-c33 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.674Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-feature-discovery-n6ck4 to node hu-worker-c36 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.677Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-operator-7b98b4c9bb-twdlc to node hu-master-c20 with Requirements{cpu=0.200, ram=100.00 MB}
2024-06-05T17:22:59.678Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-operator-node-feature-discovery-master-56f9cbf86c-9jpl5 to node hu-master-c20 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.679Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-operator-node-feature-discovery-worker-45bgt to node hu-worker-c42 with Requirements{cpu=0, ram=0 B}
2024-06-05T17:22:59.681Z  INFO 1 --- [pool-2-thread-2] cws.k8s.scheduler.model.NodeWithAlloc    : Adding pod gpu-operator-node-feature-discovery-worker-4hqts to node hu-worker-c38 with Requirements{cpu=0, ram=0 B}
